category_id,DefectClass,Filename,X0,Y0,X1,Y1,Border,CamNo,Side,Field
16,261,3CAL_00006521_01_000001.jpg,1773,834,2047,882,1817,1,0,0
16,261,3CAL_00006521_03_000001.jpg,0,812,1918,908,2030,3,0,0
16,261,3CAL_00006521_02_000001.jpg,60,847,2047,884,0,2,0,0
15,260,3CAL_00006521_02_000001.jpg,1870,514,1903,563,0,2,0,0
16,261,3CAL_00006521_05_000005.jpg,1791,360,2048,459,1822,5,0,1
16,261,3CAL_00006521_07_000005.jpg,0,328,2048,481,2036,7,0,1
14,250,3CAL_00006881_08_007678.jpg,156,320,225,445,321,8,0,1
15,260,3CAL_00006521_06_000005.jpg,1866,55,1920,118,0,6,0,1
15,260,3CAL_00006521_07_000005.jpg,0,46,44,102,2036,7,0,1
16,261,3CAL_00006521_06_000005.jpg,0,355,2048,469,0,6,0,1
7,161,3CAL_00006521_07_000021.jpg,1229,221,1431,502,2047,7,0,1
19,280,3CAL_00006521_06_000057.jpg,1781,234,1795,270,0,6,0,1
22,430,3CAL_00016104_06_000008.jpg,353,44,398,340,350,6,0,1
19,280,3CAL_00006521_07_000108.jpg,260,930,275,972,2041,7,0,1
12,220,3CAL_00012730_03_002935.jpg,201,6,325,372,0,3,0,0
#N/A,7,3CAL_00015279_04_005439.jpg,1004,47,1017,126,1055,4,0,0
22,430,3CAL_00016102_06_000076.jpg,351,314,400,581,349,6,0,1
#N/A,7,3CAL_00015279_04_005489.jpg,1002,228,1020,322,1055,4,0,0
4,120,3CAL_00017916_07_013332.jpg,1348,861,1386,916,0,7,0,1
19,280,3CAL_00012415_06_008137.jpg,488,371,502,391,343,6,0,1
19,280,3CAL_00012657_05_000568.jpg,1622,658,1635,673,1509,5,0,1
#N/A,7,3CAL_00015279_04_005479.jpg,1013,270,1022,295,1056,4,0,0
#N/A,7,3CAL_00015279_04_005464.jpg,1005,262,1020,393,1055,4,0,0
#N/A,7,3CAL_00015279_04_005424.jpg,1011,556,1017,577,1054,4,0,0
19,280,3CAL_00012657_05_000568.jpg,1647,776,1655,792,1509,5,0,1
5,130,3CAL_00019112_06_000142.jpg,238,121,256,943,210,6,0,1
#N/A,294,3CAL_00015279_04_005142.jpg,986,953,991,999,1054,4,0,0
12,220,3CAL_00016490_07_014319.jpg,952,0,989,394,0,7,0,1
21,420,3CAL_00019112_06_000142.jpg,367,763,400,825,210,6,0,1
2,4,3CAL_00018610_08_004107.jpg,173,191,208,219,431,8,0,1
11,210,3CAL_00006525_02_004722.jpg,1440,161,1452,199,130,2,0,0
11,210,3CAL_00006525_02_004849.jpg,537,635,554,673,131,2,0,0
11,210,3CAL_00006525_02_005346.jpg,1002,742,1014,790,131,2,0,0
12,220,3CAL_00016490_07_014318.jpg,940,627,997,1000,0,7,0,1
12,220,3CAL_00006525_03_008115.jpg,1001,693,1048,900,1870,3,0,0
12,220,3CAL_00006525_06_008138.jpg,1292,476,1325,546,132,6,0,1
4,120,3CAL_00009763_03_000337.jpg,1375,606,1403,693,0,3,0,0
3,110,3CAL_00016905_06_013745.jpg,1099,264,1121,1000,0,6,0,1
20,290,3CAL_00006526_06_000087.jpg,162,0,367,404,142,6,0,1
3,110,3CAL_00006526_06_014164.jpg,1320,203,1336,999,143,6,0,1
3,110,3CAL_00006526_06_014265.jpg,1509,173,1529,1000,143,6,0,1
18,271,3CAL_00006526_03_014485.jpg,922,326,924,888,1857,3,0,0
18,271,3CAL_00006526_07_014488.jpg,918,790,934,1000,1870,7,0,1
18,271,3CAL_00006526_07_014489.jpg,916,0,933,512,1870,7,0,1
16,261,3CAL_00006527_03_000004.jpg,1824,390,1838,446,1858,3,0,0
16,261,3CAL_00006527_03_000004.jpg,0,400,1747,455,1858,3,0,0
16,261,3CAL_00006527_02_000004.jpg,246,394,2047,437,131,2,0,0
16,261,3CAL_00006527_07_000007.jpg,0,862,1861,1000,1854,7,0,1
14,250,3CAL_00006601_08_005376.jpg,539,579,679,954,799,8,0,1
14,250,3CAL_00006653_07_000006.jpg,506,1,629,278,0,7,0,1
1,3,3CAL_00010450_07_002375.jpg,1056,517,1075,536,0,7,0,1
7,161,3CAL_00015311_03_000565.jpg,1644,435,1666,580,1853,3,0,0
20,290,3CAL_00017975_08_002005.jpg,475,545,496,574,494,8,0,1
19,280,3CAL_00017919_08_000154.jpg,405,55,421,91,868,8,0,1
20,290,3CAL_00017782_08_000015.jpg,672,881,690,914,693,8,0,1
16,261,3CAL_00006527_06_000007.jpg,92,887,2048,1000,122,6,0,1
14,250,3CAL_00006527_07_000006.jpg,147,110,341,934,1870,7,0,1
#N/A,400,3CAL_00011157_03_001400.jpg,2045,0,2047,999,0,3,0,0
12,220,3CAL_00009763_07_000341.jpg,1371,108,1416,223,0,7,0,1
4,120,3CAL_00009582_03_006089.jpg,1812,148,1824,273,1965,3,0,0
7,161,3CAL_00015311_03_000564.jpg,1648,630,1673,777,1853,3,0,0
20,290,3CAL_00017782_08_000013.jpg,677,883,695,934,695,8,0,1
20,290,3CAL_00016659_06_005836.jpg,1206,513,1284,620,358,6,0,1
7,161,3CAL_00015311_03_000564.jpg,1640,51,1666,469,1853,3,0,0
22,430,3CAL_00017314_07_019434.jpg,1982,513,2042,843,2039,7,0,1
20,290,3CAL_00016659_06_005836.jpg,760,645,795,722,358,6,0,1
20,290,3CAL_00016659_06_005836.jpg,1593,587,1874,1000,358,6,0,1
21,420,3CAL_00008159_07_009138.jpg,756,499,774,527,0,7,0,1
3,110,3CAL_00012727_04_001132.jpg,156,43,169,271,439,4,0,0
7,161,3CAL_00015311_03_000563.jpg,1643,890,1666,953,1853,3,0,0
